Date,Desktop visits,Mobile app visits,Mobile web visits,Tablet visits,Other device visits,ICB
2024-10-11 01:00:00,9,0,0,0,0,Somerset
2024-10-12 01:00:00,0,0,0,0,0,Somerset
2024-10-13 01:00:00,0,0,0,0,0,Somerset
2024-10-14 01:00:00,5,0,0,0,0,Somerset
2024-10-15 01:00:00,1,0,0,0,0,Somerset
2024-10-16 01:00:00,0,0,0,0,0,Somerset
2024-10-17 01:00:00,1,0,0,0,0,Somerset
2024-10-18 01:00:00,4,0,0,0,0,Somerset
2024-10-19 01:00:00,0,0,0,0,0,Somerset
2024-10-20 01:00:00,0,0,0,0,0,Somerset
2024-10-21 01:00:00,5,0,0,0,0,Somerset
2024-10-22 01:00:00,35,0,0,0,0,Somerset
2024-10-23 01:00:00,5,0,0,0,0,Somerset
2024-10-24 01:00:00,8,0,0,0,0,Somerset
2024-10-25 01:00:00,0,0,0,0,0,Somerset
2024-10-26 01:00:00,0,0,0,0,0,Somerset
2024-10-27 01:00:00,3,0,0,0,0,Somerset
2024-10-28 00:00:00,0,0,0,0,0,Somerset
2024-10-29 00:00:00,0,0,0,0,0,Somerset
2024-10-30 00:00:00,2,0,0,0,0,Somerset
2024-10-31 00:00:00,6,0,0,0,0,Somerset
2024-11-01 00:00:00,6,0,0,0,0,Somerset
2024-11-02 00:00:00,0,0,0,0,0,Somerset
2024-11-03 00:00:00,3,0,0,0,0,Somerset
2024-11-04 00:00:00,12,0,0,0,0,Somerset
2024-11-05 00:00:00,35,0,0,0,0,Somerset
2024-11-06 00:00:00,26,0,0,0,0,Somerset
2024-11-07 00:00:00,8,0,0,0,0,Somerset
2024-11-08 00:00:00,3,0,0,0,0,Somerset
2024-11-09 00:00:00,0,0,0,0,0,Somerset
2024-11-10 00:00:00,4,0,0,0,0,Somerset
2024-11-11 00:00:00,27,0,0,0,0,Somerset
2024-11-12 00:00:00,14,0,0,0,0,Somerset
2024-11-13 00:00:00,25,0,0,0,0,Somerset
2024-11-14 00:00:00,7,0,0,0,0,Somerset
2024-11-15 00:00:00,24,0,0,0,0,Somerset
2024-11-16 00:00:00,0,0,0,0,0,Somerset
2024-11-17 00:00:00,3,0,0,0,0,Somerset
2024-11-18 00:00:00,32,0,0,0,0,Somerset
2024-11-19 00:00:00,0,0,0,0,0,Somerset
